Genus,Dark1,Dark2,Dark3,IR1,IR2,IR3,Initial
g__Bizionia,0.003532972,0.003495736,0.000829942,0.000308943,0.004155085,0.000900607,0.000224003
g__Brucella,0.001169475,0.001236686,0.000919157,0.000864082,0.001122308,0.00093958,0.000488897
g__Caldilinea,0.003341987,0.00209496,0.001371177,0.001326065,0.001642714,0.001239477,0.007277803
g__Caldithrix,0.001392876,0.001372677,0.00094594,0.001102506,0.001244816,0.000781745,0.002976414
g__Candidatus_Brocadia,0.000524461,0.000647193,0.000949728,0.000818978,0.000606287,0.000398911,0.00281356
g__Candidatus_Kuenenia,0.000330568,0.000497212,0.000775769,0.000618611,0.000447965,0.000281802,0.001998158
g__Candidatus_Microthrix,0.002608237,0.001664183,0.000516725,0.000606822,0.001591834,0.000837709,0.00176841
g__Candidatus_Promineifilum,0.009809701,0.005952785,0.004029167,0.003818407,0.004427226,0.003379523,0.019385485
g__Candidatus_Scalindua,0.016045976,0.024506549,0.047375952,0.037716748,0.024040793,0.015342125,0.121412716
g__Candidatus_Solibacter,0.000447999,0.00029858,0.000413456,0.000584355,0.000287937,0.000380015,0.001860972
g__Candidatus_Thiodiazotropha,0.000751454,0.000615142,0.001053263,0.001265242,0.000697001,0.00089234,0.001861685
g__Chlorobium,0.000633553,0.00052377,0.000321968,0.000438235,0.000458969,0.000281725,0.00125762
g__Constantimarinum,0.008300293,0.006297249,0.001476151,0.001147184,0.004474938,0.000676407,0.004283229
g__Dermatobacter,0.007456083,0.004014565,0.001045118,0.001178578,0.004245514,0.002556938,0.003308035
g__Flavobacterium,0.005263943,0.006305864,0.001480849,0.001608141,0.005217986,0.002617703,0.002708793
g__Fodinibius,0.000708219,0.000819306,0.00050733,0.000854344,0.000920334,0.00104587,0.001013486
g__Formosa,0.002822914,0.002713856,0.000621623,0.000197035,0.003254526,0.000661855,0.000177449
g__Fuerstiella,0.00078913,0.000685963,0.00032856,0.00031693,0.000451701,0.000299745,0.001362806
g__Fulvivirga,0.000662162,0.001071133,0.000290033,0.000277079,0.000851466,0.000499067,0.001058194
g__Gelidibacter,0.001289001,0.001691096,0.00075535,0.000563554,0.001685391,0.000920836,0.000450102
g__Gemmatimonas,0.002459802,0.001815745,0.000614615,0.000606652,0.001808386,0.001183475,0.002242083
g__Halioglobus,0.000878806,0.000773265,0.000588286,0.000645563,0.000782761,0.000634539,0.001744252
g__Halomonas,0.002199838,0.002368009,0.008589909,0.017959716,0.002084547,0.004600485,0.005408863
g__Iamia,0.002861573,0.00214112,0.000681516,0.000795315,0.001866818,0.000858586,0.002305412
g__Idiomarina,0.000322913,0.00161577,0.018178453,0.012228838,0.001617051,0.009060355,9.81821E-05
g__Ignavibacterium,0.006562266,0.006457822,0.004651017,0.006050798,0.005779323,0.003451488,0.013460128
g__Ilumatobacter,0.004300976,0.003001567,0.001148539,0.001310689,0.002594517,0.001475486,0.004494944
g__Inmirania,0.000362641,0.000230169,0.001020721,0.001357972,0.000271694,0.000456132,0.00309414
