ASV,Taxonomy
g__Luteitalea,g__Luteitalea;p__Acidobacteriota
g__Luteithermobacter,g__Luteithermobacter;p__Pseudomonadota
g__Luteolibacter,g__Luteolibacter;p__Verrucomicrobiota
g__Lutibacter,g__Lutibacter;p__Bacteroidota
g__Lutimaribacter,g__Lutimaribacter;p__Pseudomonadota
g__Lysobacter,g__Lysobacter;p__Pseudomonadota
g__Magnetospirillum,g__Magnetospirillum;p__Pseudomonadota
g__Magnetovibrio,g__Magnetovibrio;p__Pseudomonadota
g__Maioricimonas,g__Maioricimonas;p__Planctomycetota
g__Maliponia,g__Maliponia;
g__Mameliella,g__Mameliella;p__Pseudomonadota
g__Mangrovimonas,g__Mangrovimonas;p__Bacteroidota
g__Maribacter,g__Maribacter;p__Bacteroidota
g__Maribellus,g__Maribellus;p__Bacteroidota
g__Marimonas,g__Marimonas;p__Pseudomonadota
g__Marinibacterium,g__Marinibacterium;p__Pseudomonadota
g__Mariniblastus,g__Mariniblastus;p__Planctomycetota
g__Marinicaulis,g__Marinicaulis;p__Pseudomonadota
g__Marinicella,g__Marinicella;p__Pseudomonadota
g__Marinifilum,g__Marinifilum;p__Bacteroidota
g__Mariniflexile,g__Mariniflexile;p__Bacteroidota
g__Mariniphaga,g__Mariniphaga;p__Bacteroidota
g__Marinirhabdus,g__Marinirhabdus;p__Bacteroidota
g__Marinobacter,g__Marinobacter;p__Pseudomonadota
g__Marinobacterium,g__Marinobacterium;p__Pseudomonadota
g__Marinomonas,g__Marinomonas;p__Pseudomonadota
g__Marinoscillum,g__Marinoscillum;p__Bacteroidota
g__Marinosulfonomonas,g__Marinosulfonomonas;p__Pseudomonadota
g__Marinovum,g__Marinovum;p__Pseudomonadota
g__Maritimibacter,g__Maritimibacter;p__Pseudomonadota
g__Marivirga,g__Marivirga;p__Bacteroidota
g__Marivita,g__Marivita;p__Pseudomonadota
g__Marixanthomonas,g__Marixanthomonas;p__Bacteroidota
g__Marmoricola,g__Marmoricola;p__Actinomycetota
g__Massilia,g__Massilia;p__Pseudomonadota
g__Meiothermus,g__Meiothermus;p__Deinococcota
g__Melioribacter,g__Melioribacter;p__Ignavibacteriota
g__Membranihabitans,g__Membranihabitans;p__Bacteroidota
g__Mesobacterium,g__Mesobacterium;p__Pseudomonadota
g__Mesoflavibacter,g__Mesoflavibacter;p__Bacteroidota
g__Mesonia,g__Mesonia;p__Bacteroidota
g__Mesorhizobium,g__Mesorhizobium;p__Pseudomonadota
g__Methanosarcina,g__Methanosarcina;p__Euryarchaeota
g__Methanothrix,g__Methanothrix;p__Euryarchaeota
g__Methylobacter,g__Methylobacter;p__Pseudomonadota
g__Methylobacterium,g__Methylobacterium;p__Pseudomonadota
g__Methylocaldum,g__Methylocaldum;p__Pseudomonadota
g__Methyloceanibacter,g__Methyloceanibacter;p__Pseudomonadota
g__Methylohalomonas,g__Methylohalomonas;p__Pseudomonadota
g__Methylomicrobium,g__Methylomicrobium;p__Pseudomonadota
g__Methylomonas,g__Methylomonas;p__Pseudomonadota
g__Methylophaga,g__Methylophaga;p__Pseudomonadota
g__Methyloprofundus,g__Methyloprofundus;p__Pseudomonadota
g__Micavibrio,g__Micavibrio;p__Bdellovibrionota
g__Microbacterium,g__Microbacterium;p__Actinomycetota
g__Microbulbifer,g__Microbulbifer;p__Pseudomonadota
g__Microcoleus,g__Microcoleus;p__Cyanobacteriota
g__Micromonospora,g__Micromonospora;p__Actinomycetota
g__Microvenator,g__Microvenator;p__unclassified_d__Bacteria
g__Microvirga,g__Microvirga;p__Pseudomonadota
g__Minicystis,g__Minicystis;p__Myxococcota
g__Modestobacter,g__Modestobacter;p__Actinomycetota
g__Motiliproteus,g__Motiliproteus;p__Pseudomonadota
g__Mucilaginibacter,g__Mucilaginibacter;p__Bacteroidota
g__Mucisphaera,g__Mucisphaera;p__Planctomycetota
g__Muriiphilus,g__Muriiphilus;p__Pseudomonadota
g__Mycobacterium,g__Mycobacterium;p__Actinomycetota
g__Mycolicibacterium,g__Mycolicibacterium;p__Actinomycetota
g__Myxococcus,g__Myxococcus;p__Myxococcota
g__Nannocystis,g__Nannocystis;p__Myxococcota
g__Natronospira,g__Natronospira;
g__Nioella,g__Nioella;p__Pseudomonadota
g__Nitratireductor,g__Nitratireductor;p__Pseudomonadota
g__Nitriliruptor,g__Nitriliruptor;p__Actinomycetota
g__Nitrococcus,g__Nitrococcus;p__Pseudomonadota
g__Nitrolancea,g__Nitrolancea;p__Thermomicrobiota
g__Nitrosococcus,g__Nitrosococcus;p__Pseudomonadota
g__Nitrosomonas,g__Nitrosomonas;p__Pseudomonadota
g__Nitrososphaera,g__Nitrososphaera;p__Nitrososphaerota
g__Nitrospina,g__Nitrospina;p__Nitrospinota
g__Nitrospira,g__Nitrospira;p__Nitrospirota
g__Nocardia,g__Nocardia;p__Actinomycetota
g__Nocardioides,g__Nocardioides;p__Actinomycetota
g__Nonlabens,g__Nonlabens;p__Bacteroidota
g__Nonomuraea,g__Nonomuraea;p__Actinomycetota
g__Nostoc,g__Nostoc;p__Cyanobacteriota
g__Notoacmeibacter,g__Notoacmeibacter;p__Pseudomonadota
g__Novipirellula,g__Novipirellula;p__Planctomycetota
g__Novosphingobium,g__Novosphingobium;p__Pseudomonadota
g__Oceanibaculum,g__Oceanibaculum;p__Pseudomonadota
g__Oceanibium,g__Oceanibium;p__Pseudomonadota
g__Oceanicoccus,g__Oceanicoccus;p__Pseudomonadota
g__Oceanicola,g__Oceanicola;p__Pseudomonadota
g__Oceaniglobus,g__Oceaniglobus;p__Pseudomonadota
g__Oceanihabitans,g__Oceanihabitans;p__Bacteroidota
g__Oceaniovalibus,g__Oceaniovalibus;p__Pseudomonadota
g__Oceanisphaera,g__Oceanisphaera;p__Pseudomonadota
