Genus,Dark1,Dark2,Dark3,IR1,IR2,IR3
g__Oceanibium,0.000265737,0.000237876,0.000211463,0.000170595,0.000207253,0.000166292
g__Oceanicoccus,0.000261546,0.00021278,0.000203091,0.000192678,0.000255208,0.000217151
g__Oceanicola,0.000247819,0.000206852,0.000253892,0.000163291,0.000170098,0.000141872
g__Oceaniglobus,0.000420758,0.00037442,0.000429556,0.000286518,0.000320665,0.00026222
g__Oceanihabitans,0.000323341,0.000340314,0.00015604,0.000104348,0.000361312,0.000169721
g__Oceaniovalibus,0.00040904,0.000333121,0.000431261,0.000284084,0.000295286,0.000240848
g__Oceanisphaera,2.34E-05,3.39E-05,0.000445315,0.000528871,3.46E-05,0.000395254
g__Octadecabacter,0.000475282,0.000410503,0.000530666,0.000315478,0.000347546,0.000288354
g__Olleya,0.000298666,0.000370429,9.52E-05,7.05E-05,0.000339831,0.000141834
g__Opitutus,0.000229516,0.000249851,5.11E-05,5.28E-05,0.000364966,0.000181645
g__Ornatilinea,0.000260092,0.000164802,0.000109709,0.000114641,0.000125716,9.80E-05
g__Oscillatoria,0.000187821,0.000159704,7.03E-05,7.66E-05,0.000165997,0.000126862
g__Oscillochloris,0.000543748,0.00035055,0.000241315,0.000234622,0.000278516,0.000209494
g__Owenweeksia,0.000974684,0.002035323,0.000296738,9.14E-05,0.001025828,0.00050242
g__Paenibacillus,0.000662248,0.000536851,0.000289161,0.000292199,0.000582736,0.0003759
g__Palleronia,0.000191199,0.000128206,0.00020847,0.00012139,0.000115605,8.92E-05
g__Paludibacter,0.000155021,0.000258387,5.13E-05,9.29E-05,0.000212166,0.000164349
g__Paludibaculum,8.14E-05,5.33E-05,7.13E-05,0.000104476,5.23E-05,6.72E-05
g__Paraburkholderia,0.000137701,0.000111133,7.47E-05,9.47E-05,0.000100459,8.68E-05
g__Paracoccus,0.001216944,0.000953163,0.00131333,0.001012424,0.000904822,0.000726314
g__Paracrocinitomix,0.000131115,0.000300793,7.08E-06,0.000158679,0.000344501,0.000279401
g__Paraglaciecola,0.000190729,0.000170928,0.00033106,0.000390695,0.000182849,0.000304888
g__Paraliomyxa,0.000208604,0.000184918,8.42E-05,5.84E-05,0.000224429,0.000199855
g__Pararhodobacter,0.000870467,0.000919729,0.000845133,0.000496196,0.000711985,0.000518725
g__Paremcibacter,0.000102634,6.90E-05,0.000110202,0.000173543,0.000131198,0.000186522
g__Parvibaculum,0.000183202,0.000143223,0.000133955,0.000877409,0.000141106,0.000425731
g__Parvicella,0.000240592,0.000693393,1.69E-05,0.000235775,0.000541602,0.00057328
g__Patiriisocius,0.000226351,0.000223609,4.85E-05,3.25E-05,0.000138263,5.17E-05
g__Pedobacter,0.000569364,0.000879378,0.000109596,0.000161369,0.000734927,0.000349004
g__Pedosphaera,0.000559058,0.000492785,0.000168958,0.00018311,0.000605922,0.000310565
g__Pelagibius,0.000384023,0.000270639,0.000302307,0.000306252,0.000237179,0.000208465
g__Pelagicola,0.000247819,0.000208393,0.000191006,0.000135058,0.00016555,0.000136462
g__Pelagimonas,0.000164856,0.000140497,0.00015604,0.000104604,0.000118366,0.000104804
g__Pelagivirga,0.00049675,0.000366714,0.000616054,0.000465058,0.000365129,0.000306755
g__Persicimonas,0.000732082,0.000651501,0.00010236,6.25E-05,0.001723235,0.001632597
g__Phaeobacter,0.001811966,0.001439981,0.002205817,0.001364635,0.001330129,0.001144426
g__Phaeodactylibacter,0.001697187,0.002670185,0.000418456,0.000380188,0.002203401,0.000644787
